Unnamed: 0,Unnamed: 0.1,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,compoundVader,compoundTextBlob,compoundChatGPT
909,909,2022-09-07 14:54:38+00:00,https://twitter.com/BrilloGP/status/1567526764116852736,BrilloGP,Twitter Web App,Metaverse,eth at 1500 bullish on trend (consolidation). probable target at 1600 (50ma) with dip to local lows for support retest ethereum merge pos staking metaverse nft web3 dca hodl buythedip diamondhands fomo ,3,1,0,3,0.0431,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
984,984,2022-09-06 21:00:46+00:00,https://twitter.com/BrilloGP/status/1567256517245808641,BrilloGP,Twitter Web App,Metaverse,matic at 0.88 bullish on trend (consolidation). probable target at 1.00 with dip to local lows (0.85)  for support retest polygon layer2 eth merge pos staking dex defi staking dca buythedip hodl disney metaverse fomo ,1,1,0,0,0.0431,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
882,882,2022-09-07 19:12:38+00:00,https://twitter.com/ashleyparq/status/1567591691363786754,ashleyparq,Twitter Web App,,imx at 0.85 bullish on trend (head and shoulder). probable target at 0.95  with dip to local lows (20ma) for support retest immutablex layer2 eth merge pos metaverse nft p2e web3 fomo ,0,0,0,0,0.0431,"Sentiment(polarity=0.0, subjectivity=0.0)",0.85
471,471,2022-09-11 03:36:12+00:00,https://twitter.com/BrilloGP/status/1568805584237101057,BrilloGP,Twitter Web App,Metaverse,imx at 0.85 bullish on trend (double bottom). probable target at 1.00 with dip to local lows (50ma) for support retest immutablex layer2 eth merge pos staking metaverse nft p2e web3 fomo ,12,0,7,5,0.0431,"Sentiment(polarity=0.0, subjectivity=0.0)",0.85
472,472,2022-09-11 03:34:24+00:00,https://twitter.com/BrilloGP/status/1568805128173666304,BrilloGP,Twitter Web App,Metaverse,matic at 0.92 bullish on trend (consolidation). probable target at 1.00 with dip to local lows (20ma) for support retest polygon layer2 eth merge pos staking metaverse nft web3 disney fomo ,3,0,0,0,0.0431,"Sentiment(polarity=0.0, subjectivity=0.0)",0.92
986,986,2022-09-06 20:58:48+00:00,https://twitter.com/BrilloGP/status/1567256021042888704,BrilloGP,Twitter Web App,Metaverse,dot at 7.50 bullish on trend (consolidation). probable target at 8.00 with dip to local lows (20ma) for support retest polkadot layer1 dex defi eth merge pos dca  hodl buythedip ,1,1,0,0,0.0431,"Sentiment(polarity=0.0, subjectivity=0.0)",0.75
861,861,2022-09-07 22:55:23+00:00,https://twitter.com/BrilloGP/status/1567647747205111808,BrilloGP,Twitter Web App,Metaverse,uni at 5.70 bullish on trend (double bottom). probable target at  7.00 with dip to local lows for support retest uniswap layer2 eth merge pos staking dex defi metaverse nft web3 fomo ,1,0,0,0,0.0431,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
470,470,2022-09-11 03:59:53+00:00,https://twitter.com/TheVale_1610/status/1568811541532741636,TheVale_1610,Twitter Web App,,"back into eth, seems like our system wants us to get bullish on eth into the merge - well see what happens. weve now gotten back into an ethereum position, lower than we sold, but with more. decent 3 week setup.",0,0,0,1,0.0387,"Sentiment(polarity=0.1733333333333333, subjectivity=0.2533333333333333)",0.6
494,494,2022-09-10 22:02:05+00:00,https://twitter.com/TradinginTime/status/1568721499430993921,TradinginTime,Tradeupdates,Donate to altoogle.eth,"ethereum $eth  over the last 7 days eth has  mostly been showing strength eth is looking bullish and is trending up  there is the potential for the up trend to continue   it has broken above the range high level of interest(htf) target $2,111.85 altoogle",0,0,0,1,0.0258,"Sentiment(polarity=0.043333333333333335, subjectivity=0.43444444444444447)",0.7
953,953,2022-09-07 05:32:01+00:00,https://twitter.com/QDiepeveen/status/1567385177395195904,QDiepeveen,Typefully,"Beursplein 5, Amsterdam","based on previous data (4 weeks old) we can determine that the market is very bullish biased around the eth merge (see options interest strike), but positioning itself for a buy the rumour / sell the news event around the ethmerge. ",10,0,0,1,0.0157,"Sentiment(polarity=0.04444444444444445, subjectivity=0.22222222222222224)",0.7
